C19 Deaths,Flu Deaths,PNA Deaths,C19 & PNA Deaths,"C19, PNA or Flu Deaths",Total Deaths
1129191,21563,1096485,562712,1682096,11108851
1607,468,2576,406,4221,116243
6932,315,6610,3139,10690,207786
19676,622,17338,9691,27902,312033
45913,969,39223,23957,62028,460168
201398,4239,192383,109685,287795,1842069
253716,4557,257737,138141,377284,2265531
294837,5169,298020,150003,447460,2729816
305112,5224,282598,127690,464716,3175205
740141,13744,822655,458203,1117262,3460199
847,253,1395,245,2239,64565
4713,202,4927,2655,7175,41035
14124,414,13789,8427,19875,82625
34681,632,32587,21320,46539,156753
158024,2868,162535,98793,224425,695925
194760,3156,212772,122036,288368,852323
195459,3432,224996,121568,302040,887596
137533,2787,169654,83159,226601,679377
40633,1140,32805,12785,61716,662097
455,135,674,90,1165,22112
730,43,478,158,1090,33329
1674,66,1003,416,2324,41514
3234,80,1864,892,4282,53216
9750,250,6305,2755,13528,153535
9024,226,7231,2903,13564,140585
8880,202,8047,3116,13993,126824
6886,138,7203,2455,11770,90982
1111,29,690,268,1562,29636
20,3,23,6,40,976
16,2,16,3,31,2273
59,1,28,10,78,2637
100,5,50,21,134,2924
304,4,170,72,406,7488
236,5,144,58,327,5657
215,6,146,61,306,4494
161,3,113,37,240,3187
113005,3361,82757,29305,168808,3744372
229,65,389,46,634,17158
1109,55,801,244,1709,58313
2947,117,1625,613,4061,102048
6051,216,3018,1208,8003,156656
20970,856,11846,4293,29092,665822
20946,752,14883,5003,31339,799987
26648,642,21441,7675,40858,921427
34105,658,28754,10223,53112,1022961
40407,1044,49691,17916,73129,682075
6,1,13,2,18,436
37,0,75,12,100,1492
128,4,212,42,302,5187
363,10,534,131,776,13928
3135,101,4680,1311,6599,92986
6658,190,9121,2898,13051,145188
12692,338,15397,5780,22618,196743
17388,400,19659,7740,29665,226115
168364,1826,89184,36786,222460,1730696
3,0,9,1,11,111
39,0,54,11,82,757
114,2,150,32,234,2595
440,4,378,104,718,8286
6059,76,4362,1471,9020,92347
18722,168,10792,4081,25585,225585
45254,467,23733,10037,59389,467533
97733,1109,49706,21049,127421,933482
25406,418,18607,7399,36988,798222
47,11,72,16,113,10851
288,13,257,56,501,70490
629,18,531,151,1027,75279
1043,22,790,280,1574,68283
3140,84,2475,986,4703,133632
3344,59,2776,1152,5015,95969
5652,82,4229,1748,8206,124919
11263,129,7477,3010,15849,218799
124,1,96,50,171,1554
0,0,1,0,1,34
0,0,2,0,2,97
1,0,0,0,1,148
1,0,2,1,2,122
16,0,10,4,22,334
26,1,18,10,35,237
37,0,31,18,50,280
43,0,32,17,58,302